Name,Symbol,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,code,url,매출액증가율_list,매출액증가율_score,영업이익증가율_list,영업이익증가율_score,영업이익률_list,영업이익률_score,ROE_list,ROE_score,부채비율_list,부채비율_score,total_score,total_price,total_price_group,PER,PER_list,PBR,PBR_list,score_drop
에프에스티,036810,KOSDAQ,전자부품 제조업,"펠리클(반도체부품), 칠러장비, 반도체유통",2000-01-18,12월,장경빈,http://www.fstc.co.kr,경기도,036810,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=036810,"15.33,-18.18,12.35,-19.13,23.61",5,"16.41,-55.05,-126.17,203.96,-107.0",-16,"17.43,9.58,-2.23,2.87,-0.16",4,"20.19,19.71,19.16,7.77,2.65",11,"53.77,52.11,65.73,67.07,83.94",-15,-11,305600000000,GR2,59.55,"17.0,17.05,16.91,32.63,59.55",1.43,"17.0,17.05,16.91,32.63,59.55,2.65,2.57,2.44,2.23,1.43",False
에프엔에스테크,083500,KOSDAQ,특수 목적용 기계 제조업,"OLED, LCD 제조 공정 장비",2017-02-27,12월,"김팔곤, 양상재(공동대표)",http://www.fnstech.com,충청남도,083500,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=083500,"-34.9,-60.01,177.2,-59.13,239.96",3,"-121.75,-653.61,249.22,-62.06,176.32",3,"-1.97,-37.19,20.02,18.58,15.1",1,"14.44,-1.67,2.7,2.04,8.57",8,"47.43,64.98,64.98,90.11,74.37",-15,0,74200000000,GR3,13.1,"12.6,-116.1,69.67,73.75,13.1",1.02,"12.6,-116.1,69.67,73.75,13.1,1.63,1.88,1.78,1.42,1.02",False
엑세스바이오,950130,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)",2013-05-30,12월,최영호,http://www.accessbio.net,미국,950130,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=950130,"-94.23,213.16,444.4,263.09,-85.23",9,"-120.24,153.83,368.81,317.09,-80.38",9,"-282.67,48.59,41.84,48.07,63.83",2,"139.93,127.88,101.58,88.96,103.49",5,"53.59,41.65,52.39,84.66,52.82",-15,10,539200000000,GR1,1.22,"6.98,3.88,3.09,1.88,1.22",0.78,"6.98,3.88,3.09,1.88,1.22,5.6,2.97,2.03,1.14,0.78",False
엑셈,205100,KOSDAQ,소프트웨어 개발 및 공급업,"DB, E2E 성능관리 SW",2014-11-07,12월,조종암,http://www.ex-em.com,서울특별시,205100,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=205100,"43.08,6.53,144.79,-59.07,-1.96",-13,"313.56,17.58,266.48,-84.76,-22.66",-11,"23.21,25.62,38.36,14.29,11.27",7,"11.44,9.34,13.43,15.69,12.95",11,"14.7,12.55,22.39,11.73,21.93",-15,-21,141300000000,GR3,12.39,"18.49,24.06,13.64,12.52,12.39",1.53,"18.49,24.06,13.64,12.52,12.39,1.96,2.18,1.72,1.81,1.53",False
엑스큐어,070300,KOSDAQ,소프트웨어 개발 및 공급업,"USIM카드, 금융카드",2010-06-09,12월,정우천,http://www.xcure.co.kr,경기도,070300,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=070300,"-16.91,21.06,-10.23,-42.66,122.2",-3,"-111.28,1358.26,-107.34,-1754.88,309.85",-3,"-0.96,9.99,-0.82,-26.44,24.97",-2,"-1.63,3.5,4.91,2.73,4.77",9,"9.62,8.87,8.98,7.26,9.26",-15,-14,27900000000,GR3,16.21,"-88.80,28.96,27.75,46.17,16.21",0.75,"-88.80,28.96,27.75,46.17,16.21,1.46,1.0,1.33,1.24,0.75",False
엑시콘,092870,KOSDAQ,특수 목적용 기계 제조업,반도체 검사장비,2015-10-22,12월,박상준,http://www.exicon.co.kr,경기도,092870,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=092870,"-9.84,-50.4,343.44,-63.53,56.18",3,"-75.75,-479.05,434.63,-94.12,562.66",3,"3.25,-24.86,18.76,3.03,12.84",8,"38.32,28.95,29.52,28.02,8.57",7,"12.42,14.9,15.8,19.64,18.33",-15,6,99200000000,GR3,9.33,"3.65,4.39,4.76,4.54,9.33",0.75,"3.65,4.39,4.76,4.54,9.33,1.12,1.09,1.2,1.09,0.75",False
엔브이에이치코리아,067570,KOSDAQ,자동차 신품 부품 제조업,"헤드라이너, NVH부품",2013-12-03,12월,"곽정용,구자겸(각자 대표이사)",http://www.nvhkorea.com,울산광역시,067570,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=067570,"3.84,16.25,18.01,-10.15,-1.48",-16,"-9.22,9.39,166.85,-40.12,-15.04",-19,"2.94,2.77,6.26,4.17,3.6",15,"1.38,8.34,10.1,5.65,17.32",13,"240.25,237.33,233.11,241.85,218.99",5,-2,112000000000,GR3,3.79,"80.85,10.59,8.93,16.16,3.79",0.59,"80.85,10.59,8.93,16.16,3.79,1.15,0.87,0.86,0.89,0.59",False
엔씨소프트,036570,KOSPI,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",2003-05-22,12월,김택진,http://www.ncsoft.net,서울특별시,036570,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=036570,"5.08,-7.04,51.24,4.38,-20.38",-7,"98.77,-14.65,13.72,123.08,-49.64",0,"20.94,19.23,14.46,30.9,19.54",8,"13.84,11.23,12.62,15.7,16.38",10,"30.73,42.54,45.4,43.02,38.21",-15,-4,8276600000000,GR0,15.07,"44.01,37.23,35.57,21.17,15.07",2.3,"44.01,37.23,35.57,21.17,15.07,5.39,3.96,4.15,3.02,2.3",False
엔에스,217820,KOSDAQ,특수 목적용 기계 제조업,2차전지 자동화 설비,2015-12-07,12월,이기채,http://www.cns2.co.kr,충청북도,217820,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=217820,"-81.26,348.11,-32.91,-52.32,-41.61",-33,"-97.95,1621.81,101.78,-150.8,-27.77",-15,"1.43,5.49,16.51,-17.59,-38.5",4,"10.22,5.21,15.97,16.85,13.01",11,"139.76,142.71,112.24,128.5,112.99",10,-23,100600000000,GR3,19.53,"26.9,55.87,16.81,14.2,19.53",2.35,"26.9,55.87,16.81,14.2,19.53,2.6,2.72,2.32,2.12,2.35",False
엔케이,085310,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",2008-01-24,12월,천남주,http://www.nkcf.com,부산광역시,085310,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=085310,"14.48,0.41,10.49,-19.42,10.79",8,"167.9,-76.23,427.75,-172.49,9.73",-1,"10.93,2.59,12.35,-11.12,-9.06",3,"0.7,0.2,11.62,10.93,12.64",12,"40.81,32.19,27.27,27.46,26.16",-15,7,83100000000,GR3,6.0,"184.38,516.74,7.49,8.01,6.0",0.69,"184.38,516.74,7.49,8.01,6.0,1.26,0.99,0.8,0.81,0.69",False
