Date,Open,High,Low,Close,Volume,Change
2020-06-04,30500,30600,29850,30050,344012,-0.013136288998357948
2020-06-05,30000,30250,29600,29900,291327,-0.004991680532445919
2020-06-08,30250,31900,30100,31850,613440,0.0652173913043479
2020-06-09,31900,32000,31250,31850,364557,0.0
2020-06-10,31850,32450,31500,31950,310168,0.0031397174254317317
2020-06-11,32250,32750,31800,32000,393610,0.0015649452269170805
2020-06-12,30100,30850,29650,30400,411432,-0.050000000000000044
2020-06-15,30150,30600,28550,28550,414211,-0.06085526315789469
2020-06-16,29400,30400,29100,29750,261867,0.042031523642731994
2020-06-17,29550,30200,29050,29700,200588,-0.001680672268907557
2020-06-18,29500,29850,29250,29600,144399,-0.0033670033670033517
2020-06-19,29750,30000,29150,29800,156447,0.006756756756756799
2020-06-22,30000,30850,29850,30450,253957,0.02181208053691286
2020-06-23,30600,31400,30000,31200,341798,0.024630541871921263
2020-06-24,31500,31550,30950,31500,254978,0.009615384615384581
2020-06-25,31200,32800,30800,32500,676127,0.031746031746031855
2020-06-26,33100,34400,31950,33850,842622,0.041538461538461524
2020-06-29,35250,41000,35000,37000,4349566,0.09305760709010347
2020-06-30,37450,42750,35550,37250,5841435,0.006756756756756799
2020-07-01,37900,38550,35550,35600,1038657,-0.0442953020134228
2020-07-02,35600,40750,35450,39450,3682110,0.1081460674157304
2020-07-03,39100,40500,38150,38750,1391222,-0.017743979721166037
2020-07-06,39350,39850,38350,39200,584828,0.011612903225806548
2020-07-07,38850,39000,37800,38600,544592,-0.015306122448979553
2020-07-08,38800,40600,38700,40400,1408159,0.04663212435233155
2020-07-09,40750,41750,39400,39600,719118,-0.01980198019801982
2020-07-10,39650,39800,36700,38350,775502,-0.031565656565656575
2020-07-13,38700,39250,37500,38250,408220,-0.0026075619295958807
2020-07-14,37800,39000,37550,38750,383678,0.013071895424836555
2020-07-15,39000,39250,37250,37450,406235,-0.03354838709677421
2020-07-16,37650,38250,37200,38000,271934,0.014686248331108098
2020-07-17,38350,39850,37550,39650,536336,0.04342105263157903
2020-07-20,39850,40600,39100,40000,451172,0.008827238335435084
2020-07-21,40700,40700,38950,39000,385836,-0.025000000000000022
2020-07-22,39000,39100,38050,38350,261924,-0.01666666666666672
2020-07-23,38150,39650,37650,38850,347345,0.01303780964797907
2020-07-24,38500,39150,37650,38300,254186,-0.014157014157014203
2020-07-27,37950,39100,37600,38700,204312,0.010443864229765065
2020-07-28,38750,39400,38450,38950,279046,0.006459948320413522
2020-07-29,39150,40500,38550,40400,568401,0.037227214377406836
2020-07-30,40550,40550,39300,39450,417804,-0.023514851485148536
2020-07-31,39600,41200,39250,40700,473782,0.03168567807351086
2020-08-03,41500,43200,41150,42650,1057129,0.04791154791154795
2020-08-04,42800,43800,42000,42950,451082,0.00703399765533419
2020-08-05,43000,45000,42500,45000,602603,0.047729918509895164
2020-08-06,45000,46000,44200,45050,447910,0.0011111111111110628
2020-08-07,44950,45350,43750,43950,426223,-0.02441731409544945
2020-08-10,44900,46100,43400,45600,863517,0.03754266211604085
2020-08-11,46150,46400,44850,45700,421615,0.002192982456140413
2020-08-12,45750,45800,43600,44250,455990,-0.03172866520787743
2020-08-13,46150,50800,45700,48250,2380126,0.09039548022598876
2020-08-14,48450,49450,47500,48500,712309,0.005181347150259086
2020-08-18,49000,49300,46050,46750,720514,-0.03608247422680411
2020-08-19,46750,49900,46200,49300,857261,0.05454545454545445
2020-08-20,48800,48800,46000,46500,642998,-0.05679513184584184
2020-08-21,46700,47500,44700,46700,425496,0.004301075268817289
2020-08-24,46100,47150,45100,46800,258061,0.0021413276231263545
2020-08-25,47200,49350,47000,48700,397671,0.040598290598290676
2020-08-26,48750,50800,48100,50400,586564,0.03490759753593431
2020-08-27,49950,51400,49450,50900,528784,0.009920634920634885
2020-08-28,50900,52500,47600,49000,1298643,-0.037328094302554016
2020-08-31,48950,49000,46000,46650,748647,-0.04795918367346941
2020-09-01,47550,49400,46800,48450,657023,0.03858520900321549
2020-09-02,49000,50600,48700,50200,461506,0.03611971104231171
2020-09-03,51400,52300,49750,52200,574772,0.03984063745019917
2020-09-04,49650,53000,49650,52300,732555,0.0019157088122605526
2020-09-07,53000,54900,51900,54700,583146,0.04588910133843216
