,cnt,date,title,content,org_link,link,Day
95,96,2019-02-15 08:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 08:00,등으로 <b>양육</b>이 어려워 낙태를 하는 경우가 많은 것으로 나타나면서 사회경제적 이유의 낙태를 허용해야... 대북 <b>지원</b>과 협력 의지가 분명하다는 점을 계속 강조하고 있다&quot;고 덧붙였다. 전문보기: http://yna.kr... ,http://yna.kr/AKR20190215021200011?did=1195m,http://yna.kr/AKR20190215021200011?did=1195m,2019-02-15
558,559,2019-01-22 19:37:00,"저소득 여성청소년건강<b>지원</b> 바우처, 신청하세요",여성청소년 보건위생물품 구매가 큰 부담이 되는 저소득층 여성청소년을 위한 여성청소년건강<b>지원</b>(여성... 주<b>양육</b>자는 지금 신청해 혜택을 누리기 바란다. *이 글은 <b>헤드라인</b>제주 편집방향과 다를 수 있습니다.... ,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=353706,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=353706,2019-01-22
90,91,2019-01-14 22:00:00,[에너지경제신문 오프<b>라인</b>] 에너지경제신문 <b>헤드라인</b> - 1월 15일,"50% <b>지원</b> 전 월세 주택 2000가구 공급전셋값 전국 1위 성수동 갤러리아포레 50억국토부, 노후 건물 리모델링... 핫<b>라인</b> 개설 <b>양육</b>시설 아동 구강관리 실시 광주시 동구, 50명 대상 진행 ◇사람&amp;현장토크 콘서트서... ",http://www.ekn.kr/news/article.html?no=409411,http://www.ekn.kr/news/article.html?no=409411,2019-01-14
564,565,2018-12-30 12:27:00,&quot;불경기? 용돈 줄어든 사람 손! 이렇게 봤더니...&quot;,"또 아이가 있는 남성들은 실질적인 경제생활에 도움을 주는 건 아동수당, <b>양육</b>수당 같은 복지정책이라고... 연일 신문 <b>헤드라인</b>을 장식하는 제목들이다. 소상공인 10명 중 7명 &quot;최저임금 인상 부담 커&quot; &quot;최저임금이... ",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002498811&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002498811&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2018-12-30
93,94,2018-12-07 12:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 12:00,2040세대의 <b>양육</b> 부담을 최소화하기 위해 정부가 초등학교 입학 전 아동의 의료비를 전액 <b>지원</b>하는 방안을... 온<b>라인</b> 매체 &apos;VN익스프레스&apos;는 박항서호가 베트남 하노이 미딘경기장에서 펼쳐진 스즈키컵 준결승... ,http://yna.kr/AKR20181207076500011?did=1195m,http://yna.kr/AKR20181207076500011?did=1195m,2018-12-07
103,104,2018-11-12 22:00:00,[에너지경제신문 오프<b>라인</b>] 먼저 만나는 에너지경제신문 <b>헤드라인</b> - 11월 13일,"고향방문 <b>지원</b>EQ POWER 차량 체험을 더클래스 효성, 시승 행사난방취약 가정에 연탄 1400장 전달직원 中企근로자 <b>양육</b>부담 덜기 쌍용차, 공동 직장어린이집 운영 ◇기획/부동산명문 학군 학원가 있는 수도권... ",http://www.ekn.kr/news/article.html?no=397211,http://www.ekn.kr/news/article.html?no=397211,2018-11-12
94,95,2018-11-07 16:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 16:00,청주지법 영동<b>지원</b> 형사합의부(조효정 부장판사)는 7일 가족 살해 혐의로 구속기소된 A(42)씨에게 징역 25년을 선고했다. 재판부는 판결문에서 &quot;<b>양육</b>과 보호책임이 있는 가장이 독립된 인격체인 자녀와 배우자를... ,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20181107123200011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20181107123200011&did=1195m,2018-11-07
105,106,2018-10-29 03:35:00,머니투데이 오프<b>라인</b> <b>헤드라인</b>-29일자,"[MT리포트-낙태, 죄와 벌] 月소득 148만원 넘으면, 아이 만 14세 되면 <b>양육</b>비 <b>지원</b> &apos;뚝&apos; [the300] 與 &quot;정책동력 확보, 원안 사수&quot;, 野 &quot;고용예산 과다, 대폭 삭감&quot; [오피니언] 가짜뉴스를 대하는 공자의 자세 [국제] 中日... ",http://news.mt.co.kr/mtview.php?no=2018102821301282724,http://news.mt.co.kr/mtview.php?no=2018102821301282724,2018-10-29
565,566,2018-10-21 15:02:00,&quot;제주 청소년 23.2% &apos;적대적 반항장애&apos; 등 정신질환&quot;,"ⓒ<b>헤드라인</b>제주 제주지역 청소년 23.2%가 &apos;적대적 반항장애&apos;, &apos;특정공포증&apos; 등 다양한 정신질환 문제를 겪고... 이와 관련, 제주대 연구팀은 &quot;이 질환으로 생물학적 요인 외에도 부모의 <b>양육</b>태도와 관련이 있어, 향후... ",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=347178,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=347178,2018-10-21
89,90,2018-09-04 06:00:00,"[조간 <b>헤드라인</b>] 울산(4일, 화)","◇울산지역 조간 <b>헤드라인</b> ▲경상일보=지역 주택시장 붕괴 우려 커진다 ▲울산매일=일시적 <b>지원</b>보다 <b>양육</b> 인프라·일자리·복지가 우선 ▲울산제일일보=市, 바이오헬스산업 육성 탄력 ▲울산신문=조선업... ",http://news1.kr/articles/?3416369,http://news1.kr/articles/?3416369,2018-09-04
